NEW,TX,Bud,Chlorophyll,Conversion,freeze,,,,,,,,,,,,,,,,,,,
SAMRAC_G14,B,White,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G14,B,Blue,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G15,B,Blue,,,3-May-17,,,,,,,,,,,,,,,,,,,
SAMRAC_G15,B,Red,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G15,B,Green,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G15,B,Black,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G15,B,Yellow,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G15,B,White,10.5,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G15,B,Blue,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G16,B,Blue,12.3,,28-Apr-17,,,,,,,,,,,,,,,,,,,
SAMRAC_G16,B,Red,10.5,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G16,B,Green,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G16,B,Black,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G16,B,Yellow,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G17,B,Blue,,,28-Apr-17,,,,,,,,,,,,,,,,,,,
SAMRAC_G17,B,Red,13.7,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G17,B,Green,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G17,B,Black,17.8,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G17,B,Yellow,11.3,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G17,B,White,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G18,B,Blue,24.3,,30-May-17,,,,,,,,,,,,,,,,,,,
SAMRAC_G18,B,Red,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G18,B,Green,26.5,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G18,B,Black,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G18,B,Yellow,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,Blue,30.7,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,Red,34.2,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,Green,34.3,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,Green/Red,32.6,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,Black,27.8,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,Yellow,29.2,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,White,26,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,Y-BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,Y-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,Y-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,W-BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,W-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,W-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,W-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,BU-BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,BU-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,BU-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,BU-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,BU-Y,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,R-B,27.9,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,R-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,R-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,R-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,G-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,G-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,G-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,BA-BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,BA-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,BA-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G01,A,BA-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,Blue,28,,20-Jun-17,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,Red,33.9,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,Green,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,Black,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,YELLOW,27.3,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,W-BU,34,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,W-R,28.3,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,BU-BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,"BU - B, R",,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,R-BU,29.1,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,R-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,R-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,G-BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,G-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,G-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,G-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,BA-BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,"BA - B, R",,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,G/R-BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,G/R-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,G/R-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G02,B,G/R-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,Blue,30.7,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,Red,30.8,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,Green,27.8,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,Black,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,Y,26.4,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,W-BU,33.3,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,W-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,W-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,R-BU,35.7,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,R-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,R-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,BU - G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,G-BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,G-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,BA-BU,25.5,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,BA-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,BA-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G03,A,BA-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,Blue,20.4,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,Red,23.5,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,Green,26.5,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,Black,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,Yellow,24.3,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,White,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,BU-BU,26.2,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,BU-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,BU-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,BU-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,BU-G/R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,R-BU,27.8,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,R-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,R-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,R-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,G-BU,29.5,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,G-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,G-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,G-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G04,A,G-G/R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,Blue,30.2,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,Red,26.4,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,Green,0.8,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,Black,22,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,Yellow,26.4,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,White,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,Blue,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,Red,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,Green,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,Y-BU,26.4,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,Y-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,Y-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,Y-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,Y-Y,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,R-BU,27.7,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,R-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,R-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,R-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,U-BU,25.5,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,U-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,U-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,U-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G05,A,U-Y,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,Blue,39.5,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,Red,29.2,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,Green,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,Black,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,Yellow,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,White,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,Blue,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,Y-BU,33.5,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,Y-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,Y-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,Y-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,Y-Y,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,Y-W,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,Y-BU -Tag,27.2,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,Y-R -Tag,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,Y-G -Tag,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,W-BU,25,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,W-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,W-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G06,A,W-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G07,A,Blue,28.4,,,,,,,,,,,,,,,,,,,,,
BETPAP_G07,A,Red,35.4,,,,,,,,,,,,,,,,,,,,,
BETPAP_G07,A,Green,22.1,,,,,,,,,,,,,,,,,,,,,
BETPAP_G07,A,Black,31.2,,,,,,,,,,,,,,,,,,,,,
BETPAP_G07,A,Yellow,32.8,,,,,,,,,,,,,,,,,,,,,
BETPAP_G07,A,White,24.8,,,,,,,,,,,,,,,,,,,,,
BETPAP_G07,A,Blue,34.8,,,,,,,,,,,,,,,,,,,,,
BETPAP_G07,A,Red,26.3,,,,,,,,,,,,,,,,,,,,,
BETPAP_G07,A,Green,29.8,,,,,,,,,,,,,,,,,,,,,
BETPAP_G07,A,Black,23.2,,,,,,,,,,,,,,,,,,,,,
BETPAP_G07,A,R/BU,27,,,,,,,,,,,,,,,,,,,,,
BETPAP_G07,A,Y/W,30.2,,,,,,,,,,,,,,,,,,,,,
BETPAP_G07,A,G/BU,24.3,,,,,,,,,,,,,,,,,,,,,
BETPAP_G07,A,W/BA,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G07,A,Y-BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G07,A,Y-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G07,A,Y-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G08,B,Blue,23.3,,10-Apr-17,,,,,,,,,,,,,,,,,,,
BETPAP_G08,B,Red,27.3,,,,,,,,,,,,,,,,,,,,,
BETPAP_G08,B,Green,24.4,,,,,,,,,,,,,,,,,,,,,
BETPAP_G08,B,Black,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G08,B,Yellow,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G08,B,White,25.4,,,,,,,,,,,,,,,,,,,,,
BETPAP_G08,B,Black,29.2,,,,,,,,,,,,,,,,,,,,,
BETPAP_G08,B,Blue,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G08,B,Green,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G09,A,Blue,39.7,,,,,,,,,,,,,,,,,,,,,
BETPAP_G09,A,Red,32.3,,,,,,,,,,,,,,,,,,,,,
BETPAP_G09,A,Green,35,,,,,,,,,,,,,,,,,,,,,
BETPAP_G09,A,Black,34.9,,,,,,,,,,,,,,,,,,,,,
BETPAP_G09,A,Yellow,11.9,,,,,,,,,,,,,,,,,,,,,
BETPAP_G09,A,Blue,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G09,A,R-BU,25,,,,,,,,,,,,,,,,,,,,,
BETPAP_G09,A,R-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G09,A,R-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G09,A,W,14.7,,,,,,,,,,,,,,,,,,,,,
BETPAP_G09,A,G-BU,27.5,,,,,,,,,,,,,,,,,,,,,
BETPAP_G09,A,G-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G09,A,G-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G09,A,G-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G09,A,G-Y,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G10,B,Blue,32.2,,30-May-17,,,,,,,,,,,,,,,,,,,
BETPAP_G10,B,Red,23,,,,,,,,,,,,,,,,,,,,,
BETPAP_G10,B,Green,27,,,,,,,,,,,,,,,,,,,,,
BETPAP_G10,B,Black,27.4,,,,,,,,,,,,,,,,,,,,,
BETPAP_G10,B,Yellow,23.5,,,,,,,,,,,,,,,,,,,,,
BETPAP_G10,B,White,20.3,,,,,,,,,,,,,,,,,,,,,
BETPAP_G10,B,Black,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G10,B,Red,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G10,B,Y-BU,23.7,,,,,,,,,,,,,,,,,,,,,
BETPAP_G10,B,Y-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G10,B,Green,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G10,B,Black,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G10,B,BU/R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,Blue,34.2,,15-Jun-17,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,Red,31.5,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,Green,16.1,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,Black,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,Y,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,W-BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,W-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,W-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,BU-BU,14,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,BU-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,BU-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,R-BU,40.3,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,R-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,R-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,R-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,R-G/R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,BA-BU,28.5,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,BA-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,G-BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,G-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,G-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,G/R,27.8,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,BU/BA,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,Y-BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,Y-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,Y-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G11,B,Y-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,Blue,35.7,,23-May-17,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,Red,32.3,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,Green,36.6,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,Black,27.2,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,Yellow,30.6,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,White,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,Blue,11.1,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,R-BU,19.4,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,R-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,BA-BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,BA-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,BA-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,G-BU,15.4,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,G-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,G-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,Y/W-BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,Y/W-R,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,Y/W-G,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G12,B,Y/W-B,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G13,B,Blue,36.1,,30-May-17,,,,,,,,,,,,,,,,,,,
BETPAP_G13,B,Red,28.9,,,,,,,,,,,,,,,,,,,,,
BETPAP_G13,B,Green,31.5,,,,,,,,,,,,,,,,,,,,,
BETPAP_G13,B,Black,12.1,,,,,,,,,,,,,,,,,,,,,
BETPAP_G13,B,Yellow,27.1,,,,,,,,,,,,,,,,,,,,,
BETPAP_G13,B,White,20.6,,,,,,,,,,,,,,,,,,,,,
BETPAP_G13,B,Blue,19.3,,,,,,,,,,,,,,,,,,,,,
BETPAP_G13,B,Red,21.3,,,,,,,,,,,,,,,,,,,,,
BETPAP_G13,B,"BA - B, R, G",22.2,,,,,,,,,,,,,,,,,,,,,
BETPAP_G14,B,Blue,36.5,,16-May-17,,,,,,,,,,,,,,,,,,,
BETPAP_G14,B,Red,30.2,,,,,,,,,,,,,,,,,,,,,
BETPAP_G14,B,Green,26.3,,,,,,,,,,,,,,,,,,,,,
BETPAP_G14,B,Black,21.3,,,,,,,,,,,,,,,,,,,,,
BETPAP_G14,B,Yellow,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G14,B,White,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G14,B,Blue,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G14,B,R-BU,33.9,,,,,,,,,,,,,,,,,,,,,
BETPAP_G14,B,R-R,33.9,,,,,,,,,,,,,,,,,,,,,
BETPAP_G14,B,G-BU,,,,,,,,,,,,,,,,,,,,,,
BETPAP_G14,B,G-R,,,,,,,,,,,,,,,,,,,,,,
