ID,Location,Collection Date,Sow Date,Pot Date,Raised Beds,Up-Pot Date,New ID,TX
VIBCAS08_WM,GH,16-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_W25,C
VIBCAS09_SH,GH,8-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_S26,C
VIBCAS09_SH,GH,8-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_S27,B
VIBCAS09_WM,GH,UNK,3-Dec-15,18-Feb-16,NA,4-Nov-16,VIBCAS_W28,C
VIBCAS09_WM,GH,UNK,3-Dec-15,18-Feb-16,NA,4-Nov-16,VIBCAS_W29,C
VIBCAS10_GR,GH,10-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_G30,C
VIBCAS10_GR,GH,10-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_G31,C
VIBCAS10_GR,GH,10-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_G32,C
VIBCAS10_GR,GH,10-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_G33,C
VIBCAS10_GR,GH,10-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_G34,C
VIBCAS12_GR,GH,10-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_G35,C
VIBCAS12_GR,GH,10-Sep-15,3-Dec-15,18-Feb-16,NA,24-Oct-16,VIBCAS_G36,C
