Date,Time,"Water Content (S-SMC 9927044:10659713-1), m^3/m^3","Pressure (S-BPB 9927044:10661037-1), inHg","Voltage (91-U30-CVIA 9927044:9896946-1), V","RH (S-THB 9927044:9909397-2), %","Wetness (S-LWA 9927044:9895688-1), %","Dew Point (S-THB 9927044:9909397-3), *F","Battery (U30 BATTERY 9927044:9927044-B), V","Wind Direction (S-WCA 9927044:9907761-3), *","Temperature (S-TMB 9927044:9912395-1), *F","Temperature (S-THB 9927044:9909397-1), *F","Wind Speed (S-WCA 9927044:9907761-1), mph","Solar Radiation (S-LIB 9927044:9903142-1), W/m^2","Rain (S-RGA 9927044:9917722-1), in","Current (91-U30-CVIA 9927044:9896946-2), mA","Gust Speed (S-WCA 9927044:9907761-2), mph"
11/30/16,10:15:00,0.1913,29.871,-0.204,97.00,100.0,47.08,4.41,110,-888.88,47.87,4.2,121,0.00,0.006,7.5
11/30/16,10:30:00,0.1913,29.865,-0.204,96.90,100.0,46.65,4.54,108,-888.88,47.47,3.3,118,0.00,0.006,7.9
11/30/16,10:45:00,0.1906,29.865,-0.204,96.80,100.0,46.53,4.56,76,-888.88,47.38,4.6,92,0.00,0.006,9.5
11/30/16,11:00:00,0.1906,29.871,-0.204,96.80,100.0,46.58,4.54,73,-888.88,47.42,4.6,32,0.00,0.006,7.5
11/30/16,11:15:00,0.1906,29.865,-0.204,96.80,100.0,46.35,4.51,67,-888.88,47.20,5.4,24,0.00,0.006,9.5
11/30/16,11:30:00,0.1899,29.844,-0.204,97.20,100.0,46.36,4.48,66,-888.88,47.11,5.8,41,0.00,0.006,11.6
11/30/16,11:45:00,0.1899,29.842,-0.204,97.60,100.0,46.65,4.51,58,-888.88,47.29,6.6,61,0.00,0.006,11.2
11/30/16,12:00:00,0.1899,29.847,-0.204,97.50,100.0,46.36,4.53,73,-888.88,47.02,6.2,48,0.00,0.006,11.2
11/30/16,12:15:00,0.1891,29.844,-0.204,97.30,100.0,46.22,4.41,74,-888.88,46.93,7.1,33,0.00,0.006,13.7
11/30/16,12:30:00,0.1891,29.847,-0.204,96.90,100.0,46.38,4.48,72,-888.88,47.20,7.5,39,0.00,0.006,12.5
11/30/16,12:45:00,0.1891,29.844,-0.204,96.30,100.0,46.13,4.51,67,-888.88,47.11,7.1,42,0.00,0.006,12.9
11/30/16,13:00:00,0.1891,29.844,-0.204,95.80,100.0,45.99,4.51,69,-888.88,47.11,6.6,31,0.00,0.006,14.5
11/30/16,13:15:00,0.1891,29.862,-0.204,95.50,100.0,45.91,4.41,77,-888.88,47.11,5.0,18,0.00,0.006,10.0
11/30/16,13:30:00,0.1891,29.856,-0.204,95.20,100.0,45.68,4.46,69,-888.88,46.98,6.2,34,0.00,0.006,11.2
11/30/16,13:45:00,0.1906,29.847,-0.204,95.30,100.0,45.59,4.48,73,-888.88,46.84,4.6,42,0.00,0.006,10.8
11/30/16,14:00:00,0.1913,29.850,-0.204,95.80,100.0,45.77,4.50,80,-888.88,46.89,4.6,37,0.00,0.006,10.0
11/30/16,14:15:00,0.1906,29.859,-0.204,96.00,100.0,45.82,4.41,104,-888.88,46.89,2.9,22,0.00,0.006,5.4
11/30/16,14:30:00,0.1899,29.850,-0.204,96.30,100.0,45.90,4.46,84,-888.88,46.89,3.7,27,0.00,0.006,8.7
11/30/16,14:45:00,0.1906,29.836,-0.204,96.40,100.0,45.93,4.46,72,-888.88,46.89,5.0,17,0.00,0.006,9.5
11/30/16,15:00:00,0.1920,29.833,-0.204,96.50,95.3,45.82,4.45,70,-888.88,46.75,5.4,7,0.01,0.006,10.4
11/30/16,15:15:00,0.1964,29.839,-0.204,96.80,94.1,45.90,4.41,66,-888.88,46.75,6.2,4,0.01,0.006,10.4
11/30/16,15:30:00,0.2051,29.842,-0.204,97.10,100.0,45.86,4.42,67,-888.88,46.62,5.0,2,0.01,0.006,10.8
11/30/16,15:45:00,0.2167,29.847,-0.204,97.30,100.0,45.82,4.43,65,-888.88,46.53,5.4,1,0.03,0.006,10.0
11/30/16,16:00:00,0.2262,29.856,-0.204,97.50,100.0,45.88,4.43,70,-888.88,46.53,5.8,1,0.02,0.006,11.2
11/30/16,16:15:00,0.2385,29.853,-0.204,97.70,100.0,45.84,4.51,69,-888.88,46.44,6.2,1,0.02,0.006,10.8
11/30/16,16:30:00,0.2487,29.856,-0.204,97.90,100.0,45.84,4.39,63,-888.88,46.39,6.2,1,0.03,0.006,12.5
11/30/16,16:45:00,0.2480,29.839,-0.204,98.10,100.0,45.81,4.40,72,-888.88,46.30,6.2,1,0.03,0.006,10.4
11/30/16,17:00:00,0.2414,29.815,-0.204,98.40,100.0,45.99,4.40,67,-888.88,46.39,5.0,1,0.01,0.006,12.0
11/30/16,17:15:00,0.2385,29.815,-0.204,98.50,100.0,46.00,4.41,72,-888.88,46.39,4.6,1,0.02,0.006,12.5
11/30/16,17:30:00,0.2414,29.824,-0.204,98.60,100.0,46.17,4.38,72,-888.88,46.53,6.2,1,0.02,0.006,11.2
11/30/16,17:45:00,0.2836,29.839,-0.204,98.60,100.0,46.04,4.39,70,-888.88,46.39,6.2,1,0.07,0.006,14.9
11/30/16,18:00:00,0.2610,29.803,-0.204,98.80,100.0,45.82,4.39,65,-888.88,46.12,7.5,1,0.05,0.006,16.6
11/30/16,18:15:00,0.2414,29.797,-0.204,98.90,100.0,45.90,4.41,70,-888.88,46.17,7.5,1,0.00,0.006,14.9
11/30/16,18:30:00,0.2342,29.809,-0.204,98.90,100.0,45.99,4.36,76,-888.88,46.26,5.4,1,0.01,0.006,12.0
11/30/16,18:45:00,0.2422,29.797,-0.204,98.90,100.0,46.11,4.38,59,-888.88,46.39,6.2,1,0.03,0.006,14.1
11/30/16,19:00:00,0.2371,29.785,-0.204,98.90,100.0,46.20,4.38,77,-888.88,46.48,6.2,1,0.01,0.006,12.5
11/30/16,19:15:00,0.2371,29.774,-0.204,99.00,100.0,46.36,4.51,74,-888.88,46.62,5.4,1,0.01,0.006,14.5
11/30/16,19:30:00,0.2320,29.791,-0.204,99.10,100.0,46.65,4.35,84,-888.88,46.89,4.2,1,0.00,0.006,9.1
11/30/16,19:45:00,0.2480,29.788,-0.204,99.20,100.0,46.81,4.36,77,-888.88,47.02,5.0,1,0.04,0.006,13.3
11/30/16,20:00:00,0.2436,29.794,-0.204,99.20,100.0,46.81,4.36,73,-888.88,47.02,5.0,1,0.02,0.006,14.1
11/30/16,20:15:00,0.2385,29.777,-0.204,99.20,100.0,46.90,4.60,88,-888.88,47.11,2.5,1,0.00,0.006,8.7
11/30/16,20:30:00,0.2400,29.771,-0.204,99.30,100.0,46.98,4.34,83,-888.88,47.15,3.7,1,0.02,0.006,10.0
11/30/16,20:45:00,0.2407,29.756,-0.204,99.20,100.0,46.96,4.39,95,-888.88,47.15,3.7,1,0.02,0.006,9.5
11/30/16,21:00:00,0.2560,29.759,-0.204,99.20,100.0,46.96,4.36,108,-888.88,47.15,3.7,1,0.04,0.006,10.0
11/30/16,21:15:00,0.2647,29.753,-0.204,99.30,100.0,46.94,4.51,104,-888.88,47.11,2.5,1,0.04,0.006,7.5
11/30/16,21:30:00,0.2574,29.741,-0.204,99.30,100.0,46.94,4.34,98,-888.88,47.11,4.2,1,0.03,0.006,10.4
11/30/16,21:45:00,0.2523,29.715,-0.204,99.30,100.0,46.94,4.35,93,-888.88,47.11,5.0,1,0.01,0.006,10.8
11/30/16,22:00:00,0.2443,29.700,-0.204,99.10,100.0,46.98,4.36,93,-888.88,47.20,6.6,1,0.01,0.006,13.7
11/30/16,22:15:00,0.2523,29.685,-0.204,99.00,100.0,46.99,4.32,90,-888.88,47.24,7.1,1,0.03,0.006,15.4
11/30/16,22:30:00,0.2574,29.682,-0.204,99.00,100.0,47.08,4.33,101,-888.88,47.33,7.1,1,0.03,0.006,16.6
11/30/16,22:45:00,0.2632,29.673,-0.204,98.90,100.0,47.01,4.34,90,-888.88,47.29,6.2,1,0.04,0.006,17.8
11/30/16,23:00:00,0.2480,29.658,-0.204,99.00,100.0,47.12,4.35,77,-888.88,47.38,5.4,1,0.00,0.006,12.0
11/30/16,23:15:00,0.2407,29.641,-0.204,99.00,100.0,47.17,4.51,72,-888.88,47.42,6.6,1,0.00,0.006,14.1
11/30/16,23:30:00,0.2371,29.620,-0.204,99.00,100.0,47.17,4.34,73,-888.88,47.42,6.2,1,0.00,0.006,13.7
11/30/16,23:45:00,0.2422,29.608,-0.204,99.00,100.0,47.21,4.35,77,-888.88,47.47,6.6,1,0.02,0.006,14.1
12/01/16,00:00:00,0.2538,29.593,-0.204,99.10,100.0,47.28,4.35,77,-888.88,47.51,7.1,1,0.03,0.006,18.3
12/01/16,00:15:00,0.2472,29.573,-0.204,99.10,100.0,47.37,4.32,73,-888.88,47.60,7.9,1,0.01,0.006,19.5
12/01/16,00:30:00,0.2443,29.555,-0.204,99.10,100.0,47.43,4.33,74,-888.88,47.65,7.5,1,0.01,0.006,14.9
12/01/16,00:45:00,0.2472,29.543,-0.204,99.10,100.0,47.43,4.34,74,-888.88,47.65,7.5,1,0.01,0.006,16.2
12/01/16,01:00:00,0.2451,29.534,-0.204,99.20,92.4,47.50,4.35,73,-888.88,47.69,7.5,1,0.01,0.006,14.5
12/01/16,01:15:00,0.2610,29.520,-0.204,99.30,100.0,47.52,4.41,70,-888.88,47.69,8.3,1,0.03,0.006,17.0
12/01/16,01:30:00,0.2560,29.508,-0.204,99.30,100.0,47.61,4.32,76,-888.88,47.78,8.3,1,0.02,0.006,16.2
12/01/16,01:45:00,0.2480,29.493,-0.204,99.40,100.0,47.77,4.34,72,-888.88,47.91,7.5,1,0.00,0.006,13.7
12/01/16,02:00:00,0.2472,29.478,-0.204,99.50,100.0,47.84,4.38,74,-888.88,47.96,7.1,1,0.01,0.006,11.6
12/01/16,02:15:00,0.2850,29.452,-0.204,99.50,100.0,47.89,4.60,69,-888.88,48.00,7.1,1,0.07,0.006,13.7
12/01/16,02:30:00,0.2567,29.422,-0.204,99.50,100.0,47.98,4.33,69,-888.88,48.09,7.1,1,0.00,0.006,14.5
12/01/16,02:45:00,0.2516,29.393,-0.204,99.70,100.0,48.20,4.34,67,-888.88,48.27,7.5,1,0.00,0.006,13.3
12/01/16,03:00:00,0.2487,29.372,-0.204,99.80,95.3,48.42,4.35,63,-888.88,48.45,6.2,1,0.00,0.006,12.9
12/01/16,03:15:00,0.2465,29.357,-0.204,99.90,95.3,48.52,4.32,66,-888.88,48.54,5.4,1,0.00,0.006,10.4
12/01/16,03:30:00,0.2661,29.345,-0.204,99.90,100.0,48.67,4.33,74,-888.88,48.67,3.7,1,0.04,0.006,7.5
12/01/16,03:45:00,0.2560,29.331,-0.204,99.90,100.0,48.70,4.34,87,-888.88,48.72,0.8,1,0.01,0.006,4.6
12/01/16,04:00:00,0.2581,29.316,-0.204,99.90,100.0,48.61,4.35,95,-888.88,48.63,0.4,1,0.02,0.006,5.0
12/01/16,04:15:00,0.2538,29.292,-0.204,99.90,100.0,48.85,4.32,112,-888.88,48.85,0.4,1,0.01,0.006,3.7
12/01/16,04:30:00,0.2494,29.286,-0.204,99.90,100.0,48.85,4.34,171,-888.88,48.85,0.8,1,0.00,0.006,7.5
12/01/16,04:45:00,0.2465,29.292,-0.204,100.00,100.0,49.05,4.34,248,-888.88,49.03,1.2,1,0.00,0.006,9.1
12/01/16,05:00:00,0.2443,29.292,-0.204,100.00,100.0,49.01,4.35,256,-888.88,48.98,0.8,1,0.00,0.006,6.2
12/01/16,05:15:00,0.2429,29.292,-0.204,100.00,100.0,48.87,4.51,257,-888.88,48.85,2.1,1,0.00,0.006,6.6
12/01/16,05:30:00,0.2414,29.301,-0.204,100.00,100.0,48.83,4.33,257,-888.88,48.81,2.5,1,0.00,0.006,8.7
12/01/16,05:45:00,0.2385,29.295,-0.204,100.00,100.0,48.78,4.34,243,-888.88,48.76,2.5,1,0.00,0.006,7.5
12/01/16,06:00:00,0.2363,29.310,-0.204,100.00,100.0,49.05,4.38,254,-888.88,49.03,4.6,1,0.00,0.006,11.2
12/01/16,06:15:00,0.2349,29.319,-0.204,100.00,100.0,48.78,4.51,264,-888.88,48.76,5.4,1,0.00,0.006,11.2
12/01/16,06:30:00,0.2327,29.334,-0.204,100.00,100.0,48.33,4.34,272,-888.88,48.32,5.4,1,0.00,0.006,15.4
12/01/16,06:45:00,0.2313,29.334,-0.204,99.80,100.0,47.75,4.34,279,-888.88,47.78,5.0,2,0.00,0.006,11.6
12/01/16,07:00:00,0.2298,29.334,-0.204,99.70,100.0,47.44,4.35,277,-888.88,47.51,4.2,11,0.00,0.006,13.3
12/01/16,07:15:00,0.2284,29.325,-0.204,99.70,92.9,47.23,4.32,264,-888.88,47.29,1.7,53,0.00,0.006,7.9
12/01/16,07:30:00,0.2269,29.319,-0.204,99.50,94.1,47.17,4.44,282,-888.88,47.29,1.2,121,0.00,0.006,5.8
12/01/16,07:45:00,0.2247,29.322,-0.204,99.40,94.1,47.46,4.54,271,-888.88,47.60,2.5,163,0.00,0.006,6.6
12/01/16,08:00:00,0.2240,29.325,-0.204,99.00,100.0,47.93,4.54,267,-888.88,48.18,2.5,191,0.00,0.006,8.7
12/01/16,08:15:00,0.2225,29.328,-0.204,98.50,38.8,48.06,4.32,284,-888.88,48.45,3.7,218,0.00,0.006,9.5
12/01/16,08:30:00,0.2211,29.340,-0.204,97.60,18.8,48.31,4.54,275,-888.88,48.94,5.0,248,0.00,0.006,12.5
12/01/16,08:45:00,0.2196,29.351,-0.204,96.20,14.7,48.36,4.54,275,-888.88,49.38,5.4,268,0.00,0.006,12.5
12/01/16,09:00:00,0.2189,29.360,-0.204,93.20,12.4,48.43,4.55,277,-888.88,50.31,6.2,288,0.00,0.006,12.9
12/01/16,09:15:00,0.2182,29.366,-0.204,89.90,11.2,48.74,4.41,263,-888.88,51.59,4.2,309,0.00,0.006,11.6
12/01/16,09:30:00,0.2175,29.366,-0.204,86.90,10.6,48.45,4.54,267,-888.88,52.20,7.5,331,0.00,0.006,13.7
12/01/16,09:45:00,0.2160,29.369,-0.204,83.10,10.6,48.15,4.55,279,-888.88,53.12,9.1,346,0.00,0.006,15.8
12/01/16,10:00:00,0.2146,29.366,-0.204,80.30,10.0,47.50,4.55,277,-888.88,53.38,9.1,362,0.00,0.006,19.9
