OLD,NEW,TX,soil.7.Feb,soil.11.Feb,BBCH.11.Feb,soil.14.Feb,BBCH.14.Feb
BETALL09_SH,BETALL_S11,B,,9.3,,9.8,9
BETALL08_WM,BETALL_W10,B,,7.7,,8.1,9
BETALL08_WM,BETALL_W13,B,,8.1,,8.8,
BETPOP06_GR,BETPOP_G10,B,,8.1,,8.2,
BETPOP06_GR,BETPOP_G13,B,,9.5,,9,
BETPOP06_GR,BETPOP_G15,B,,12.6,,13.3,
BETPOP03_HF,BETPOP_H09,B,,7.3,,8.3,
BETPOP05_HF,BETPOP_H11,B,,8.9,,8.9,9
BETPOP05_HF,BETPOP_H16,B,,7.6,,9.2,
BETPOP08_WM,BETPOP_W12,B,,8.7,9,11.2,9
BETPOP08_WM,BETPOP_W14,B,,11.1,9,11.4,
CORCOR06_WM,CORCOR_W02,B,,7.8,,8.7,
PRUPEN12_SH,PRUPEN_S05,B,,8.1,,9.3,
PRUPEN08_SH,PRUPEN_S06,B,,8.7,,9.8,
PRUPEN08_SH,PRUPEN_S07,B,,8.8,,8.7,
PRUPEN11_GR,PRUPEN_S09,B,,10,,10.2,9
PRUPEN02_WM,PRUPEN_W13,B,,8.7,,10.8,
VIBCAS03_GR,VIBCAS_G21,B,,7.4,,8.9,10
VIBCAS12_GR,VIBCAS_G23,B,,8.8,9,9.5,
VIBCAS12_GR,VIBCAS_G24,B,,8,,7.3,
VIBCAS01_SH,VIBCAS_S16,B,,9.8,11,9.2,
VIBCAS01_SH,VIBCAS_S20,B,,9.6,10,11.5,
VIBCAS07_WM,VIBCAS_W12,B,,8.5,9,10,
VIBCAS08_WM,VIBCAS_W13,B,,8.9,,10,
VIBCAS08_WM,VIBCAS_W19,B,,9,9,9.2,
VIBCAS07_WM,VIBCAS_W27,B,,7.4,10,7.6,
ACEPEN06_WM,ACEPEN_W14,B,9.2,7.6,,8.3,
ACEPEN06_WM,ACEPEN_W15,B,8.8,8.8,,7.6,
PRUPEN08_SH,PRUPEN_S12,B,8.7,8.2,,8.9,
PRUPEN08_SH,PRUPEN_S15,B,10.1,9.6,,9.1,
VIBCAS10_GR,VIBCAS_G25,B,8.9,10.9,10,8.1,
VIBCAS10_GR,VIBCAS_G28,B,9.6,8.1,,3.8,
VIBCAS05_SH,VIBCAS_S22,B,10.7,9.1,10,9.8,
VIBCAS08_WM,VIBCAS_W29,B,9.7,7.7,,8,
VIBCAS08_WM,VIBCAS_W35,B,7.9,7.3,9,7.5,
VIBCAS09_WM,VIBCAS_W36,B,7.7,8.1,9,7.6,
VIBCAS01_SH,VIBCAS_S02,C,,8.4,12,9.7,
VIBCAS01_SH,VIBCAS_S09,C,,9,11,8,
VIBCAS01_SH,VIBCAS_S14,C,,8.8,11,9.7,
VIBCAS01_SH,VIBCAS_S15,C,,8.1,11,10.9,
ACEPEN12_HF,ACEPEN_H06,C,9.3,7.9,,7.5,
ALNINC07_GR,ALNINC_G26,C,9.7,8.2,,7.2,
ALNINC07_GR,ALNINC_G28,C,8.9,8.2,9,9.7,9
ALNINC07_GR,ALNINC_G36,C,8.2,8.1,,8.1,9
ALNINC02_HF,ALNINC_H21,C,8.7,9.5,,8,9
ALNINC06_HF,ALNINC_H27,C,7.7,7.7,,7.5,9
ALNINC05_HF,ALNINC_H35,C,9.6,7.8,,8.2,
ALNINC07_SH,ALNINC_S31,C,4.8,9.3,,8.4,
ALNINC07_SH,ALNINC_S33,C,8.7,9.5,,7.9,
ALNINC07_SH,ALNINC_S34,C,8.7,7.8,,7.8,9
ALNINC02_WM,ALNINC_W29,C,9.5,7.6,,8.2,
ALNINC01_WM,ALNINC_W30,C,8.4,8.2,,8.4,
ALNINC01_WM,ALNINC_W32,C,10.3,7.4,,9,
BETALL13_GR,BETALL_G15,C,8.5,10.4,,8.8,
BETALL15_GR,BETALL_G16,C,13.4,9.1,,9.6,
BETALL04_SH,BETALL_S12,C,8.5,8.8,,9,
BETALL08_SH,BETALL_S17,C,9,10.4,,8.1,
BETALL09_WM,BETALL_W14,C,9.9,10.6,,8.4,
BETALL08_WM,BETALL_W18,C,9.1,8.5,,8,
BETPOP06_GR,BETPOP_G17,C,9.2,9.2,,9,
BETPOP06_GR,BETPOP_G19,C,9.6,7.5,,9,
BETPOP06_GR,BETPOP_G20,C,9.1,9.1,9,8,
BETPOP06_GR,BETPOP_G24,C,9.4,7.7,9,8.2,
BETPOP04_HF,BETPOP_H21,C,9.6,9.3,,8.8,
BETPOP04_HF,BETPOP_H22,C,8.4,9.2,,8.1,
BETPOP01_HF,BETPOP_H23,C,10.2,7.5,,7.7,
BETPOP07_WM,BETPOP_W18,C,7.8,9.6,9,7.2,
CORCOR05_WM,CORCOR_W03,C,8.7,8.6,,8.5,
PRUPEN03_WM,PRUPEN_W14,C,9.4,9.4,,8.8,
